Hora Inicio,Hora Fin,Precio (€/kWh)
00:00,01:00,0.0851
01:00,02:00,0.0828
02:00,03:00,0.0841
03:00,04:00,0.081
04:00,05:00,0.0816
05:00,06:00,0.0813
06:00,07:00,0.0942
07:00,08:00,0.1012
08:00,09:00,0.1113
09:00,10:00,0.0906
10:00,11:00,0.1521
11:00,12:00,0.1483
12:00,13:00,0.1486
13:00,14:00,0.1447
14:00,15:00,0.0826
15:00,16:00,0.0838
16:00,17:00,0.0849
17:00,18:00,0.085
18:00,19:00,0.1537
19:00,20:00,0.1577
20:00,21:00,0.2007
21:00,22:00,0.2209
22:00,23:00,0.1436
23:00,24:00,0.1287
